City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Vestmannaeyjar,IS,2021-01-30 19:56:00,63.4427,-20.2734,32.0,74,75,12.66
243,Heishan,CN,2021-01-30 19:56:00,41.6892,122.1128,8.64,86,93,2.98
244,Dingle,PH,2021-01-30 19:56:00,10.9995,122.6711,71.47,90,100,9.89
245,Monrovia,LR,2021-01-30 19:56:00,6.3005,-10.7969,80.6,83,75,6.42
246,Ritchie,ZA,2021-01-30 19:56:00,-29.038,24.6028,71.6,43,0,3.44
247,Manuk Mangkaw,PH,2021-01-30 19:56:00,4.8,119.85,81.12,75,100,6.78
248,Asau,RO,2021-01-30 19:56:00,46.4333,26.4,46.4,61,0,10.36
249,Gara,HU,2021-01-30 19:56:00,46.0319,19.0428,42.8,93,0,2.3
250,Ponta Delgada,PT,2021-01-30 19:56:00,37.7333,-25.6667,63.0,94,75,14.97
251,Aden,YE,2021-01-30 19:53:22,12.7794,45.0367,74.86,71,0,8.39
252,Sept-Iles,CA,2021-01-30 19:56:01,50.2001,-66.3821,23.0,49,8,8.05
253,Beringovskiy,RU,2021-01-30 19:56:01,63.05,179.3167,-0.15,94,100,12.57
254,Narsaq,GL,2021-01-30 19:56:01,60.9167,-46.05,41.0,33,75,37.98
255,Tigil,RU,2021-01-30 19:56:01,57.8,158.6667,8.13,94,100,29.37
256,Siirt,TR,2021-01-30 19:54:31,37.9326,41.9403,34.21,86,2,4.85
257,Sur,OM,2021-01-30 19:56:01,22.5667,59.5289,66.97,56,0,10.16
258,Manta,EC,2021-01-30 19:56:01,-0.95,-80.7333,77.0,100,90,5.75
259,Camopi,GF,2021-01-30 19:56:01,3.1655,-52.3158,78.42,93,95,4.85
260,Hofn,IS,2021-01-30 19:56:02,64.2539,-15.2082,21.06,87,98,21.59
261,Staraya Poltavka,RU,2021-01-30 19:56:02,50.4772,46.4814,26.55,96,92,8.66
262,Pevek,RU,2021-01-30 19:56:02,69.7008,170.3133,-33.45,84,3,1.7
263,Lata,PT,2021-01-30 19:56:02,40.1629,-8.3327,55.99,85,58,3.0
264,Pokosnoye,RU,2021-01-30 19:56:02,55.5258,101.0536,-34.26,81,72,7.23
265,Kurilsk,RU,2021-01-30 19:56:02,45.2333,147.8833,20.16,95,100,18.45
266,Lompoc,US,2021-01-30 19:56:02,34.6391,-120.4579,55.99,71,75,3.44
267,Ostrovnoy,RU,2021-01-30 19:56:03,68.0531,39.5131,13.21,95,100,10.49
268,Arlit,NE,2021-01-30 19:56:03,18.7369,7.3853,68.43,19,98,6.22
269,Harper,LR,2021-01-30 19:56:03,4.375,-7.7169,78.57,85,46,6.62
270,Pisco,PE,2021-01-30 19:56:03,-13.7,-76.2167,79.0,65,0,6.91
271,Luderitz,NA,2021-01-30 19:56:03,-26.6481,15.1594,69.37,58,9,26.73
272,Shepsi,RU,2021-01-30 19:56:03,44.0361,39.1489,48.16,68,95,15.84
273,Praya,CV,2021-01-30 19:56:03,14.9215,-23.5087,75.2,57,0,18.41
274,Villarrica,PY,2021-01-30 19:56:03,-25.75,-56.4333,85.05,77,20,7.92
275,Korla,CN,2021-01-30 19:56:03,41.7597,86.1469,22.73,81,0,5.35
276,San Ignacio,BZ,2021-01-30 19:56:04,17.1561,-89.0714,80.6,65,75,4.61
277,Encruzilhada,BR,2021-01-30 19:56:04,-15.5314,-40.9094,82.22,48,19,10.27
278,Ferme-Neuve,CA,2021-01-30 19:56:04,46.7001,-75.4493,10.4,52,46,5.75
279,Wufeng,CN,2021-01-30 19:56:04,27.45,104.8333,33.58,100,100,3.4
280,Wuwei,CN,2021-01-30 19:56:04,37.9281,102.6414,22.98,66,0,4.68
281,Mnogovershinnyy,RU,2021-01-30 19:56:04,53.9353,139.9242,-10.28,91,100,4.07
282,Saldanha,ZA,2021-01-30 19:56:04,-33.0117,17.9442,64.56,89,0,8.77
283,Itoman,JP,2021-01-30 19:56:04,26.1247,127.6694,59.0,58,20,9.22
284,Hovd,MN,2021-01-30 19:56:04,48.0056,91.6419,9.97,82,98,0.6
285,Olean,US,2021-01-30 19:56:05,42.0776,-78.4297,27.0,63,75,3.44
286,Longyan,CN,2021-01-30 19:56:05,25.1072,117.0225,52.0,68,0,1.01
287,Mamlyutka,KZ,2021-01-30 19:56:05,54.9375,68.5394,18.32,94,100,10.98
288,Ca Mau,VN,2021-01-30 19:56:05,9.1769,105.15,73.31,83,67,5.7
289,Gerash,IR,2021-01-30 19:51:13,27.6652,54.1371,59.0,47,0,6.33
290,Kutum,SD,2021-01-30 19:56:05,14.2,24.6667,58.82,29,0,9.24
291,Mount Gambier,AU,2021-01-30 19:56:05,-37.8333,140.7667,50.0,93,0,2.71
292,Ambilobe,MG,2021-01-30 19:56:05,-13.2,49.05,74.59,92,3,2.28
293,Necochea,AR,2021-01-30 19:56:05,-38.5473,-58.7368,64.99,53,100,5.01
