City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
523,Luangwa,ZM,-15.6167,30.4167,72.27,93,100,1.61,overcast clouds
524,Ushtobe,KZ,45.2514,77.9838,14.77,82,41,2.93,scattered clouds
525,Nkhotakota,MW,-12.9274,34.2961,73.27,82,99,3.87,light rain
526,San Martin,AR,-33.081,-68.4681,62.6,82,75,10.36,light intensity drizzle
527,Altoona,US,40.5187,-78.3947,25.0,79,100,3.15,overcast clouds
528,Madang,PG,-5.2246,145.7966,85.14,79,77,6.55,moderate rain
529,Ahipara,NZ,-35.1667,173.1667,70.07,55,8,4.5,clear sky
530,Nedjo,ET,9.5046,35.5019,55.71,54,1,3.56,clear sky
531,Port Macquarie,AU,-31.4333,152.9167,82.4,74,16,11.03,few clouds
532,Henties Bay,NA,-22.116,14.2845,66.99,84,50,4.0,scattered clouds
533,Cockburn Town,TC,21.4612,-71.1419,73.4,56,20,13.8,few clouds
534,Amahai,ID,-3.3333,128.9167,86.49,62,86,4.59,overcast clouds
535,Bontang,ID,0.1333,117.5,78.31,86,100,13.2,overcast clouds
536,Ambon,ID,-3.6954,128.1814,91.4,55,40,9.22,scattered clouds
537,Linhai,CN,28.85,121.1167,61.0,56,81,3.65,broken clouds
538,Bilma,NE,18.6853,12.9164,57.13,32,0,4.23,clear sky
539,Rusape,ZW,-18.5278,32.1284,60.17,93,100,3.27,overcast clouds
540,Najran,SA,17.4924,44.1277,57.2,30,0,4.61,clear sky
541,Bukachacha,RU,52.9833,116.9167,-16.53,78,1,2.26,clear sky
542,Kabalo,CD,-6.05,26.9167,69.04,95,100,1.25,overcast clouds
543,Meulaboh,ID,4.1363,96.1285,82.36,67,71,1.52,broken clouds
544,Houston,US,29.7633,-95.3633,70.0,88,90,11.5,overcast clouds
545,Port-Gentil,GA,-0.7193,8.7815,76.87,81,100,5.44,overcast clouds
546,Kamenz,DE,51.268,14.0937,23.0,86,75,1.14,broken clouds
547,Pierre,US,44.3683,-100.351,26.6,80,90,11.5,light snow
548,Ndele,CF,8.4109,20.6473,71.49,22,7,8.28,clear sky
549,Esperance,AU,-33.8667,121.9,78.8,41,0,6.91,clear sky
550,Vilcun,CL,-38.65,-72.2333,59.0,100,0,4.61,clear sky
551,Vohibinany,MG,-17.35,49.0333,72.63,88,18,1.86,few clouds
552,Nanakuli,US,21.3906,-158.1547,78.8,57,1,8.05,clear sky
553,Dongsheng,CN,39.8161,109.9776,27.18,72,0,26.53,clear sky
554,Lagos,NG,6.5833,3.75,78.35,90,30,4.0,scattered clouds
555,Kalaleh,IR,37.3807,55.4916,47.52,66,0,4.34,clear sky
556,Jalu,LY,29.0331,21.5482,57.51,46,0,10.78,clear sky
557,Longyearbyen,SJ,78.2186,15.6401,-5.8,59,20,19.57,few clouds
558,San Pedro,PH,14.35,121.0167,84.0,65,40,6.91,scattered clouds
559,Port-Cartier,CA,50.0334,-66.8654,19.4,68,37,10.36,scattered clouds
560,Komsomolskiy,UZ,40.4272,71.7189,32.0,55,100,9.22,overcast clouds
561,Mount Hagen,PG,-5.8581,144.2274,73.08,68,89,2.84,overcast clouds
562,Kenai,US,60.5544,-151.2583,19.4,86,1,5.75,clear sky
563,Belaya Gora,RU,68.5333,146.4167,-29.25,85,100,2.33,overcast clouds
564,Mantua,IT,45.1667,10.7833,39.99,100,90,5.75,moderate rain
565,Santa Fe,AR,-31.6333,-60.7,68.0,82,89,7.0,overcast clouds
566,Sabang,ID,5.8933,95.3214,81.05,78,42,21.43,scattered clouds
567,Tongliao,CN,43.6125,122.2653,8.58,92,99,6.44,light snow
568,Laguna,US,38.421,-121.4238,54.0,76,1,6.24,clear sky
569,Ntoum,GA,0.3833,9.7833,75.2,94,75,8.05,broken clouds
570,Kapit,MY,2.0167,112.9333,84.78,65,100,2.77,overcast clouds
571,Tangier,MA,35.7806,-5.8137,57.2,77,40,13.8,scattered clouds
572,Kloulklubed,PW,7.0419,134.2556,86.0,66,75,12.66,broken clouds
573,Shu,KZ,43.5983,73.7614,30.09,89,100,9.84,overcast clouds
574,Luderitz,NA,-26.6481,15.1594,63.77,67,0,17.02,clear sky
575,Mount Gambier,AU,-37.8333,140.7667,71.6,46,40,6.91,scattered clouds
576,Santa Marta De Tormes,ES,40.9506,-5.6272,44.01,81,0,18.41,clear sky
577,Te Anau,NZ,-45.4167,167.7167,65.88,47,85,7.52,overcast clouds
578,Acapulco,MX,16.8634,-99.8901,80.6,83,20,2.3,few clouds
579,Kupang,ID,-10.1667,123.5833,82.4,83,75,20.71,broken clouds
580,Oktyabrskoye,RU,43.0645,44.7417,35.6,87,18,4.47,few clouds
581,Ballina,AU,-28.8667,153.5667,82.4,69,90,11.5,overcast clouds
582,Sinnamary,GF,5.3833,-52.95,77.63,85,100,14.54,overcast clouds
583,Parana,AR,-31.732,-60.5238,68.0,83,87,8.99,overcast clouds
584,Murmashi,RU,68.8154,32.8115,14.0,85,75,2.37,light snow
585,Maceio,BR,-9.6658,-35.7353,75.2,94,40,3.44,scattered clouds
586,Cidreira,BR,-30.1811,-50.2056,75.61,89,98,10.11,overcast clouds
587,Pauini,BR,-7.7136,-66.9764,74.25,98,99,2.66,overcast clouds
588,Cortez,US,37.3489,-108.5859,28.4,74,1,6.38,clear sky
589,Jimeta,NG,9.2833,12.4667,70.09,24,0,1.23,clear sky
590,Rio Grande Da Serra,BR,-23.7442,-46.3983,77.0,73,0,3.44,clear sky
591,Neiafu,TO,-18.65,-173.9833,77.0,94,75,5.75,light rain
592,La Ronge,CA,55.1001,-105.2842,12.2,79,2,1.83,clear sky
593,Olinda,BR,-8.0089,-34.8553,78.8,69,40,5.75,scattered clouds
594,Aksu,CN,41.1231,80.2644,21.24,77,46,2.53,scattered clouds
595,Ilulissat,GL,69.2167,-51.1,8.6,66,90,3.44,overcast clouds
596,Morozovsk,RU,48.3539,41.8261,34.0,92,87,15.79,overcast clouds
597,Marsh Harbour,BS,26.5412,-77.0636,66.97,63,100,13.73,overcast clouds
598,Svetlyy,RU,54.675,20.1347,33.8,75,75,15.66,light snow
599,Yelanskiy,RU,56.8419,62.5014,6.75,95,77,0.29,broken clouds
600,Shetpe,KZ,44.1667,52.1167,32.74,94,31,5.93,scattered clouds
601,Dunedin,NZ,-45.8742,170.5036,59.0,79,100,20.0,overcast clouds
602,Dhidhdhoo,MV,6.8833,73.1,81.72,65,0,6.38,clear sky
603,Yatou,CN,37.15,122.3833,47.12,68,59,14.47,broken clouds
604,Sakakah,SA,29.9697,40.2064,41.0,65,0,3.44,clear sky
605,Jaguarari,BR,-10.2639,-40.1958,67.78,91,100,5.99,overcast clouds
606,Canico,PT,32.6333,-16.85,59.0,77,20,3.44,few clouds
607,Maryville,US,35.7565,-83.9705,34.0,93,90,4.61,overcast clouds
608,Port Lincoln,AU,-34.7333,135.8667,69.01,60,3,14.14,clear sky
609,Honiara,SB,-9.4333,159.95,83.03,79,100,9.53,moderate rain
610,Geraldton,AU,-28.7667,114.6,102.2,16,0,6.91,clear sky
611,Toora-Khem,RU,52.4675,96.11,-12.53,86,67,2.24,broken clouds
612,Alyangula,AU,-13.8483,136.4192,87.8,70,40,9.22,scattered clouds
613,Leshukonskoye,RU,64.8989,45.7622,20.57,98,99,5.79,light snow
614,Marabba,SD,12.35,32.1833,64.9,24,2,10.09,clear sky
615,Omboue,GA,-1.5746,9.2618,74.75,88,100,3.11,overcast clouds
616,Barra Do Garcas,BR,-15.89,-52.2567,73.92,85,82,0.34,broken clouds
617,Verkhoyansk,RU,67.5447,133.385,-42.57,76,62,0.96,broken clouds
618,Mineros,BO,-17.1167,-63.2333,76.14,86,70,7.78,broken clouds
619,Bilibino,RU,68.0546,166.4372,-26.16,79,0,5.7,clear sky
620,Sena Madureira,BR,-9.0656,-68.6569,74.07,96,99,3.04,light rain
621,Ruston,US,32.5232,-92.6379,62.6,88,75,8.05,broken clouds
622,Shingu,JP,33.7333,135.9833,51.8,50,40,10.36,scattered clouds
623,Poum,NC,-20.2333,164.0167,80.11,67,1,6.73,clear sky
624,Golden,US,39.7555,-105.2211,42.01,33,40,19.57,scattered clouds
625,Hasaki,JP,35.7333,140.8333,52.0,34,20,19.57,few clouds
626,Nata,PA,8.3333,-80.5167,73.99,50,50,12.39,scattered clouds
627,Minab,IR,27.1467,57.0801,62.17,84,7,1.72,clear sky
628,Kismayo,SO,-0.3582,42.5454,74.93,85,15,13.85,few clouds
629,Antofagasta,CL,-23.65,-70.4,66.2,82,20,10.36,few clouds
630,La Palma,US,33.8464,-118.0467,57.2,76,1,5.75,clear sky
631,Ossora,RU,59.2353,163.0719,-1.44,91,100,21.16,snow
632,Pingdu,CN,36.7844,119.9464,53.01,57,0,11.18,haze
633,Saint-Augustin,CA,51.226,-58.6502,26.76,92,100,18.79,overcast clouds
634,Quarai,BR,-30.3875,-56.4514,70.84,90,100,9.19,overcast clouds
635,Ancud,CL,-41.8697,-73.8203,52.0,87,0,2.64,clear sky
636,Santa Rita,BR,-7.1139,-34.9781,77.0,88,20,4.61,few clouds
637,Voyvozh,RU,62.892,54.9635,12.83,96,98,10.67,overcast clouds
638,Mushie,CD,-3.0167,16.9,69.06,95,100,4.47,light rain
639,Yokadouma,CM,3.5167,15.05,68.18,91,100,2.91,overcast clouds
640,Lesmahagow,GB,55.6367,-3.8874,28.99,94,100,1.01,overcast clouds
641,Zhezkazgan,KZ,47.8043,67.7144,15.3,95,91,7.0,overcast clouds
642,Verkhnevilyuysk,RU,63.4453,120.3167,-45.0,78,70,1.92,broken clouds
643,Anchorage,US,61.2181,-149.9003,21.2,53,20,3.44,few clouds
644,Gunjur,GM,13.2019,-16.7339,68.0,68,0,11.9,clear sky
645,Inongo,CD,-1.95,18.2667,72.19,94,98,5.03,light rain
646,Oistins,BB,13.0667,-59.5333,78.8,73,40,21.85,scattered clouds
647,Petukhovo,RU,55.0692,67.9019,10.13,93,74,6.2,broken clouds
648,Zhigansk,RU,66.7697,123.3711,-45.62,74,69,3.83,broken clouds
649,Kyra,RU,49.5776,111.9753,7.07,90,100,4.23,light snow
650,Andros Town,BS,24.7,-77.7667,68.0,64,20,8.05,few clouds
651,Zlobin,HR,45.2924,14.6541,48.2,93,75,5.75,broken clouds
652,Novosergiyevka,RU,52.0934,53.6528,17.19,96,100,5.48,overcast clouds
653,Semey,KZ,50.4111,80.2275,-4.0,84,100,4.47,overcast clouds
654,Okha,RU,53.5739,142.9478,-3.8,90,100,19.33,overcast clouds
655,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.6,71,75,10.36,broken clouds
